,minority_size,tp,fp,tn,fn,tpr,tnr,roc_auc,geometric_mean,arithmetic_mean,f1_score,precision,layers,method
19,0.5,1317,7223,646822,12,0.9909709999999999,0.988956,0.998964,0.9899629999999999,0.989964,0.266896,0.15421500000000002,2,rus
20,0.5,1319,8110,645935,10,0.992476,0.9876,0.998748,0.990035,0.990038,0.24521300000000001,0.139888,2,rus
21,0.5,1317,6411,647634,12,0.9909709999999999,0.9901979999999999,0.9990709999999999,0.990584,0.990584,0.290825,0.17041900000000001,2,rus
22,0.5,1317,7702,646343,12,0.9909709999999999,0.988224,0.9983299999999999,0.9895959999999999,0.989597,0.254542,0.146025,2,rus
23,0.5,1317,7573,646472,12,0.9909709999999999,0.9884209999999999,0.998825,0.9896950000000001,0.9896959999999999,0.257755,0.148144,2,rus
24,0.5,1317,6820,647225,12,0.9909709999999999,0.9895729999999999,0.998693,0.9902709999999999,0.9902719999999999,0.27825900000000003,0.161853,2,rus
25,0.5,1317,7183,646862,12,0.9909709999999999,0.9890180000000001,0.999036,0.989994,0.989994,0.26798299999999997,0.154941,2,rus
26,0.5,1317,5902,648143,12,0.9909709999999999,0.990976,0.998784,0.990973,0.990973,0.308142,0.18243499999999999,2,rus
27,0.5,1317,6295,647750,12,0.9909709999999999,0.990375,0.998935,0.9906729999999999,0.9906729999999999,0.294598,0.173016,2,rus
28,0.5,1317,6946,647099,12,0.9909709999999999,0.9893799999999999,0.998806,0.990175,0.990175,0.274604,0.159385,2,rus
29,0.5,1317,6463,647582,12,0.9909709999999999,0.990118,0.9985120000000001,0.9905440000000001,0.9905450000000001,0.289165,0.16927999999999999,2,rus
30,0.0005,1310,351373,302672,19,0.9857040000000001,0.462769,0.988769,0.675391,0.724236,0.0074010000000000005,0.003714,2,rus
31,0.0005,1324,647689,6356,5,0.996238,0.009718000000000001,0.988308,0.09839400000000001,0.5029779999999999,0.004072,0.0020399999999999997,2,rus
32,0.0005,1323,623932,30113,6,0.9954850000000001,0.046041000000000006,0.988165,0.214087,0.520763,0.004222999999999999,0.002116,2,rus
33,0.0005,1310,153715,500330,19,0.9857040000000001,0.7649779999999999,0.990933,0.8683559999999999,0.875341,0.016756999999999998,0.00845,2,rus
34,0.0005,1310,179206,474839,19,0.9857040000000001,0.726004,0.990648,0.8459459999999999,0.8558540000000001,0.014408,0.0072569999999999996,2,rus
35,0.0005,1320,373961,280084,9,0.9932280000000001,0.428234,0.99144,0.652176,0.710731,0.00701,0.003517,2,rus
36,0.0005,1311,379798,274247,18,0.986456,0.419309,0.988682,0.643141,0.702883,0.006856,0.00344,2,rus
37,0.0005,1322,592352,61693,7,0.994733,0.094325,0.990914,0.306314,0.544529,0.004444,0.002227,2,rus
38,0.0005,1321,515502,138543,8,0.99398,0.211825,0.992088,0.45885699999999996,0.602903,0.005099,0.0025559999999999997,2,rus
39,0.0005,1310,123266,530779,19,0.9857040000000001,0.811533,0.991258,0.894389,0.898618,0.020809,0.010516,2,rus
40,0.0005,1310,270301,383744,19,0.9857040000000001,0.586724,0.9896379999999999,0.760484,0.7862140000000001,0.009599,0.004823,2,rus
41,0.0005,1321,617881,36164,8,0.99398,0.055292999999999995,0.991268,0.234435,0.524637,0.004258,0.002133,2,rus
42,0.0005,1310,113273,540772,19,0.9857040000000001,0.8268120000000001,0.991343,0.902769,0.906258,0.022603,0.011433,2,rus
43,0.0005,1310,188146,465899,19,0.9857040000000001,0.712335,0.990576,0.837944,0.8490190000000001,0.013733,0.006915,2,rus
44,0.0005,1311,329009,325036,18,0.986456,0.496963,0.989381,0.700166,0.7417090000000001,0.007906,0.0039689999999999994,2,rus
45,0.0005,1329,653819,226,0,1.0,0.000346,0.995084,0.018588999999999998,0.500173,0.0040490000000000005,0.002029,2,rus
